Shift: 15
ptietrn 0 5 2 4 1 6 3
ptientr 0 5 2 4 3 1 6
ptienrt 0 5 2 4 3 6 1
ptiertn 0 5 2 4 6 1 3
ptiernt 0 5 2 4 6 3 1
ptirtne 0 5 2 6 1 3 4
ptirten 0 5 2 6 1 4 3
ptirnte 0 5 2 6 3 1 4
ptirnet 0 5 2 6 3 4 1
ptiretn 0 5 2 6 4 1 3
ptirent 0 5 2 6 4 3 1
ptntier 0 5 3 1 2 4 6
ptntire 0 5 3 1 2 6 4
ptnteir 0 5 3 1 4 2 6
ptnteri 0 5 3 1 4 6 2
ptntrie 0 5 3 1 6 2 4
ptntrei 0 5 3 1 6 4 2
ptniter 0 5 3 2 1 4 6
ptnitre 0 5 3 2 1 6 4
ptnietr 0 5 3 2 4 1 6
ptniert 0 5 3 2 4 6 1
ptnirte 0 5 3 2 6 1 4
ptniret 0 5 3 2 6 4 1
ptnetir 0 5 3 4 1 2 6
ptnetri 0 5 3 4 1 6 2
ptneitr 0 5 3 4 2 1 6
ptneirt 0 5 3 4 2 6 1
ptnerti 0 5 3 4 6 1 2
ptnerit 0 5 3 4 6 2 1
ptnrtie 0 5 3 6 1 2 4
ptnrtei 0 5 3 6 1 4 2
ptnrite 0 5 3 6 2 1 4
ptnriet 0 5 3 6 2 4 1
ptnreti 0 5 3 6 4 1 2
ptnreit 0 5 3 6 4 2 1
ptetinr 0 5 4 1 2 3 6
ptetirn 0 5 4 1 2 6 3
ptetnir 0 5 4 1 3 2 6
ptetnri 0 5 4 1 3 6 2
ptetrin 0 5 4 1 6 2 3
ptetrni 0 5 4 1 6 3 2
pteitnr 0 5 4 2 1 3 6
pteitrn 0 5 4 2 1 6 3
pteintr 0 5 4 2 3 1 6
pteinrt 0 5 4 2 3 6 1
pteirtn 0 5 4 2 6 1 3
pteirnt 0 5 4 2 6 3 1
ptentir 0 5 4 3 1 2 6
ptentri 0 5 4 3 1 6 2
ptenitr 0 5 4 3 2 1 6
ptenirt 0 5 4 3 2 6 1
ptenrti 0 5 4 3 6 1 2
ptenrit 0 5 4 3 6 2 1
ptertin 0 5 4 6 1 2 3
ptertni 0 5 4 6 1 3 2
pteritn 0 5 4 6 2 1 3
pterint 0 5 4 6 2 3 1
pternti 0 5 4 6 3 1 2
pternit 0 5 4 6 3 2 1
ptrtine 0 5 6 1 2 3 4
ptrtien 0 5 6 1 2 4 3
ptrtnie 0 5 6 1 3 2 4
ptrtnei 0 5 6 1 3 4 2
ptrtein 0 5 6 1 4 2 3
ptrteni 0 5 6 1 4 3 2
ptritne 0 5 6 2 1 3 4
ptriten 0 5 6 2 1 4 3
ptrinte 0 5 6 2 3 1 4
ptrinet 0 5 6 2 3 4 1
ptrietn 0 5 6 2 4 1 3
ptrient 0 5 6 2 4 3 1
ptrntie 0 5 6 3 1 2 4
ptrntei 0 5 6 3 1 4 2
ptrnite 0 5 6 3 2 1 4
ptrniet 0 5 6 3 2 4 1
ptrneti 0 5 6 3 4 1 2
ptrneit 0 5 6 3 4 2 1
ptretin 0 5 6 4 1 2 3
ptretni 0 5 6 4 1 3 2
ptreitn 0 5 6 4 2 1 3
ptreint 0 5 6 4 2 3 1
ptrenti 0 5 6 4 3 1 2
ptrenit 0 5 6 4 3 2 1
prtinet 0 6 1 2 3 4 5
prtinte 0 6 1 2 3 5 4
prtient 0 6 1 2 4 3 5
prtietn 0 6 1 2 4 5 3
prtitne 0 6 1 2 5 3 4
prtiten 0 6 1 2 5 4 3
prtniet 0 6 1 3 2 4 5
prtnite 0 6 1 3 2 5 4
prtneit 0 6 1 3 4 2 5
prtneti 0 6 1 3 4 5 2
prtntie 0 6 1 3 5 2 4
prtntei 0 6 1 3 5 4 2
prteint 0 6 1 4 2 3 5
prteitn 0 6 1 4 2 5 3
prtenit 0 6 1 4 3 2 5
prtenti 0 6 1 4 3 5 2
prtetin 0 6 1 4 5 2 3
prtetni 0 6 1 4 5 3 2
prttine 0 6 1 5 2 3 4
prttien 0 6 1 5 2 4 3
prttnie 0 6 1 5 3 2 4
prttnei 0 6 1 5 3 4 2
prttein 0 6 1 5 4 2 3
prtteni 0 6 1 5 4 3 2
pritnet 0 6 2 1 3 4 5
pritnte 0 6 2 1 3 5 4
pritent 0 6 2 1 4 3 5
pritetn 0 6 2 1 4 5 3
prittne 0 6 2 1 5 3 4
pritten 0 6 2 1 5 4 3
printet 0 6 2 3 1 4 5
printte 0 6 2 3 1 5 4
prinett 0 6 2 3 4 1 5
prinett 0 6 2 3 4 5 1
printte 0 6 2 3 5 1 4
printet 0 6 2 3 5 4 1
prietnt 0 6 2 4 1 3 5
priettn 0 6 2 4 1 5 3
prientt 0 6 2 4 3 1 5
prientt 0 6 2 4 3 5 1
priettn 0 6 2 4 5 1 3
prietnt 0 6 2 4 5 3 1
prittne 0 6 2 5 1 3 4
pritten 0 6 2 5 1 4 3
pritnte 0 6 2 5 3 1 4
pritnet 0 6 2 5 3 4 1
pritetn 0 6 2 5 4 1 3
pritent 0 6 2 5 4 3 1
prntiet 0 6 3 1 2 4 5
prntite 0 6 3 1 2 5 4
prnteit 0 6 3 1 4 2 5
prnteti 0 6 3 1 4 5 2
prnttie 0 6 3 1 5 2 4
prnttei 0 6 3 1 5 4 2
prnitet 0 6 3 2 1 4 5
prnitte 0 6 3 2 1 5 4
prniett 0 6 3 2 4 1 5
prniett 0 6 3 2 4 5 1
prnitte 0 6 3 2 5 1 4
prnitet 0 6 3 2 5 4 1
prnetit 0 6 3 4 1 2 5
prnetti 0 6 3 4 1 5 2
prneitt 0 6 3 4 2 1 5
prneitt 0 6 3 4 2 5 1
prnetti 0 6 3 4 5 1 2
prnetit 0 6 3 4 5 2 1
prnttie 0 6 3 5 1 2 4
prnttei 0 6 3 5 1 4 2
prntite 0 6 3 5 2 1 4
prntiet 0 6 3 5 2 4 1
prnteti 0 6 3 5 4 1 2
prnteit 0 6 3 5 4 2 1
pretint 0 6 4 1 2 3 5
pretitn 0 6 4 1 2 5 3
pretnit 0 6 4 1 3 2 5
pretnti 0 6 4 1 3 5 2
prettin 0 6 4 1 5 2 3
prettni 0 6 4 1 5 3 2
preitnt 0 6 4 2 1 3 5
preittn 0 6 4 2 1 5 3
preintt 0 6 4 2 3 1 5
preintt 0 6 4 2 3 5 1
preittn 0 6 4 2 5 1 3
preitnt 0 6 4 2 5 3 1
prentit 0 6 4 3 1 2 5
prentti 0 6 4 3 1 5 2
prenitt 0 6 4 3 2 1 5
prenitt 0 6 4 3 2 5 1
prentti 0 6 4 3 5 1 2
prentit 0 6 4 3 5 2 1
prettin 0 6 4 5 1 2 3
prettni 0 6 4 5 1 3 2
pretitn 0 6 4 5 2 1 3
pretint 0 6 4 5 2 3 1
pretnti 0 6 4 5 3 1 2
pretnit 0 6 4 5 3 2 1
prttine 0 6 5 1 2 3 4
prttien 0 6 5 1 2 4 3
prttnie 0 6 5 1 3 2 4
prttnei 0 6 5 1 3 4 2
prttein 0 6 5 1 4 2 3
prtteni 0 6 5 1 4 3 2
prtitne 0 6 5 2 1 3 4
prtiten 0 6 5 2 1 4 3
prtinte 0 6 5 2 3 1 4
prtinet 0 6 5 2 3 4 1
prtietn 0 6 5 2 4 1 3
prtient 0 6 5 2 4 3 1
prtntie 0 6 5 3 1 2 4
prtntei 0 6 5 3 1 4 2
prtnite 0 6 5 3 2 1 4
prtniet 0 6 5 3 2 4 1
prtneti 0 6 5 3 4 1 2
prtneit 0 6 5 3 4 2 1
prtetin 0 6 5 4 1 2 3
prtetni 0 6 5 4 1 3 2
prteitn 0 6 5 4 2 1 3
prteint 0 6 5 4 2 3 1
prtenti 0 6 5 4 3 1 2
prtenit 0 6 5 4 3 2 1
tpinetr 1 0 2 3 4 5 6
tpinert 1 0 2 3 4 6 5
tpinter 1 0 2 3 5 4 6
tpintre 1 0 2 3 5 6 4
tpinret 1 0 2 3 6 4 5
tpinrte 1 0 2 3 6 5 4
